First_Name	Last_Name	CNIC	AccID	Saving/Current	Balance	Creation_Date
Myra	Munns	17128-1194892-8	3451	C	1330500	20/8/2000
Natalie	Fern	15973-5059510-1	3502	S	1456000	16/9/2007
Penney	Weight	39704-2070235-9	3377	S	3316500	8/6/2010
Roxane	Campain	22181-1350898-5	3266	S	620000	0/5/2011
Rozella	Ostrosky	21635-1398364-5	3235	S	3935000	28/2/2017
Sabra	Uyetake	35072-1539016-3	3320	C	4570500	6/7/2012
Sage	Wieser	22052-1088603-1	3097	S	191500	0/2/2015
Shenika	Seewald	32619-3006928-5	3341	C	3117000	13/1/2015
Simona	Morasca	22623-2071136-6	3078	S	769000	5/0/2011
Solange	Shinko	33271-4481503-6	3221	C	2282500	5/1/2001
Stephaine	Barfield	42756-2404500-9	3453	S	4746000	19/9/2000
Stephen	Emigh	27432-1008576-4	3456	C	4925500	5/7/2001
Tamar	Hoogland	30289-2439649-5	3401	C	4786500	24/10/2003
Tammara	Wardrip	15538-6986108-2	3468	C	1696000	17/7/2009
Tawna	Buvens	33556-3027256-6	3369	C	3979000	27/6/2005
Timothy	Mulqueen	25871-1901638-3	3440	C	4425000	24/6/2001
Tonette	Wenner	21124-3047206-9	3330	S	1838000	12/2/2005
Tyra	Shields	38633-1665620-4	3459	C	1262500	5/6/2017
Valentine	Gillian	41934-2973508-0	3239	S	2852500	17/4/2006
Vallie	Mondella	26925-1150682-0	3386	C	1573000	2/8/2000
Veronika	Inouye	30671-4332736-3	3163	S	4779000	21/1/2007
Viva	Toelkes	36434-4736472-9	3426	C	487000	8/10/2010
Wilda	Giguere	22611-1910732-6	3478	C	198000	24/1/2000
Willard	Kolmetz	37982-1263588-6	3169	C	3219500	9/1/2012
Willow	Kusko	31624-1334194-6	3198	C	4232000	13/4/2010
Youlanda	Schemmer	22673-1336243-5	3251	S	3244000	3/2/2006
Yuki	Whobrey	20285-1078260-7	3153	C	4346000	24/12/2010	

